rho,logF,log2n,n,m,delta,eta,feasible,t,achieved_bits,floor_bits,proof_size_bits,proof_size_kb,mca_bound,list_bound,note
1/2,31.0,20,1048576,1,0.01,0.2828932188134524,False,,8.818928406469892,8.818928406469892,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.82 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.010000). No finite t helps.
1/2,31.0,20,1048576,1,0.018305067796610168,0.27458815101684225,False,,8.785310122833527,8.785310122833527,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.79 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.018305). No finite t helps.
1/2,31.0,20,1048576,1,0.02661013559322034,0.2662830832202321,False,,8.750432721435281,8.750432721435281,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.75 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.026610). No finite t helps.
1/2,31.0,20,1048576,1,0.03491520338983051,0.2579780154236219,False,,8.714213321538253,8.714213321538253,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.71 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.034915). No finite t helps.
1/2,31.0,20,1048576,1,0.04322027118644068,0.24967294762701175,False,,8.67656084102439,8.67656084102439,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.68 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.043220). No finite t helps.
1/2,31.0,20,1048576,1,0.051525338983050846,0.2413678798304016,False,,8.63737488446439,8.63737488446439,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.64 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.051525). No finite t helps.
1/2,31.0,20,1048576,1,0.05983040677966102,0.23306281203379142,False,,8.596544436369978,8.596544436369978,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.60 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.059830). No finite t helps.
1/2,31.0,20,1048576,1,0.06813547457627118,0.22475774423718126,False,,8.553946317187584,8.553946317187584,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.55 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.068135). No finite t helps.
1/2,31.0,20,1048576,1,0.07644054237288135,0.2164526764405711,False,,8.509443348398568,8.509443348398568,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.51 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.076441). No finite t helps.
1/2,31.0,20,1048576,1,0.08474561016949152,0.20814760864396092,False,,8.462882158390586,8.462882158390586,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.46 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.084746). No finite t helps.
1/2,31.0,20,1048576,1,0.09305067796610168,0.19984254084735076,False,,8.414090541271054,8.414090541271054,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.41 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.093051). No finite t helps.
1/2,31.0,20,1048576,1,0.10135574576271186,0.19153747305074056,False,,8.362874254673708,8.362874254673708,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.36 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.101356). No finite t helps.
1/2,31.0,20,1048576,1,0.10966081355932203,0.1832324052541304,False,,8.309013107216638,8.309013107216638,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.31 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.109661). No finite t helps.
1/2,31.0,20,1048576,1,0.1179658813559322,0.17492733745752023,False,,8.252256137727992,8.252256137727992,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.25 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.117966). No finite t helps.
1/2,31.0,20,1048576,1,0.1262709491525424,0.16662226966091004,False,,8.192315620899961,8.192315620899961,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.19 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.126271). No finite t helps.
1/2,31.0,20,1048576,1,0.13457601694915255,0.15831720186429987,False,,8.128859538944894,8.128859538944894,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.13 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.134576). No finite t helps.
1/2,31.0,20,1048576,1,0.14288108474576272,0.1500121340676897,False,,8.061502022686852,8.061502022686852,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 8.06 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.142881). No finite t helps.
1/2,31.0,20,1048576,1,0.1511861525423729,0.14170706627107954,False,,7.989791067243239,7.989791067243239,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.99 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.151186). No finite t helps.
1/2,31.0,20,1048576,1,0.15949122033898305,0.13340199847446937,False,,7.913192533187063,7.913192533187063,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.91 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.159491). No finite t helps.
1/2,31.0,20,1048576,1,0.16779628813559325,0.12509693067785918,False,,7.83106899817105,7.83106899817105,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.83 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.167796). No finite t helps.
1/2,31.0,20,1048576,1,0.17610135593220339,0.11679186288124904,False,,7.7426513324328505,7.7426513324328505,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.74 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.176101). No finite t helps.
1/2,31.0,20,1048576,1,0.18440642372881358,0.10848679508463885,False,,7.646999770806245,7.646999770806245,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.65 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.184406). No finite t helps.
1/2,31.0,20,1048576,1,0.19271149152542374,0.10018172728802868,False,,7.542949449487375,7.542949449487375,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.54 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.192711). No finite t helps.
1/2,31.0,20,1048576,1,0.2010165593220339,0.09187665949141852,False,,7.429032317666106,7.429032317666106,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.43 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.201017). No finite t helps.
1/2,31.0,20,1048576,1,0.20932162711864408,0.08357159169480835,False,,7.303361948148725,7.303361948148725,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.30 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.209322). No finite t helps.
1/2,31.0,20,1048576,1,0.21762669491525427,0.07526652389819816,False,,7.163457852224989,7.163457852224989,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.16 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.217627). No finite t helps.
1/2,31.0,20,1048576,1,0.2259317627118644,0.06696145610158802,False,,7.005966650531837,7.005966650531837,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 7.01 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.225932). No finite t helps.
1/2,31.0,20,1048576,1,0.2342368305084746,0.058656388304977825,False,,6.826197646997744,6.826197646997744,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 6.83 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.234237). No finite t helps.
1/2,31.0,20,1048576,1,0.24254189830508477,0.05035132050836766,False,,6.61730146504696,6.61730146504696,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 6.62 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.242542). No finite t helps.
1/2,31.0,20,1048576,1,0.25084696610169493,0.04204625271175749,False,,-0.0,-0.0,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.250847). No finite t helps.
1/2,31.0,20,1048576,1,0.2591520338983051,0.033741184915147326,False,,-0.0,-0.0,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.259152). No finite t helps.
1/2,31.0,20,1048576,1,0.26745710169491527,0.02543611711853716,False,,-0.0,-0.0,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.267457). No finite t helps.
