family,rho,p,n,k,c,delta,margin_rE_minus_delta,max_cert,construction,heuristic_1_over_1md,volume_qEn,n_trials
fixed_field,0.0625,65537,32,2,0.25,0.78125,0.135169,4,random_plurality,4.5714,0.0,4957
fixed_field,0.0625,65537,64,4,0.25,0.796875,0.119544,4,random_plurality,4.9231,0.0,5120
fixed_field,0.0625,65537,128,8,0.25,0.789062,0.127357,4,random_plurality,4.7407,0.0,5251
fixed_field,0.0625,65537,256,16,0.25,0.792969,0.123451,4,random_plurality,4.8302,0.0,3673
fixed_field,0.0625,65537,512,32,0.25,0.791016,0.125404,4,random_plurality,4.785,0.0,4016
fixed_field,0.0625,65537,1024,64,0.25,0.791992,0.124427,4,random_plurality,4.8075,0.0,3232
fixed_field,0.0625,65537,2048,128,0.25,0.791504,0.124916,4,random_plurality,4.7963,0.0,3602
fixed_field,0.0625,65537,4096,256,0.25,0.791504,0.124916,4,random_plurality,4.7963,0.0,3747
fixed_field,0.0625,65537,32,2,0.5,0.84375,0.072669,6,random_plurality,6.4,0.0,5919
fixed_field,0.0625,65537,64,4,0.5,0.828125,0.088294,5,random_plurality,5.8182,0.0,5836
fixed_field,0.0625,65537,128,8,0.5,0.835938,0.080482,5,random_plurality,6.0952,0.0,5990
fixed_field,0.0625,65537,256,16,0.5,0.832031,0.084388,5,random_plurality,5.9535,0.0,4204
fixed_field,0.0625,65537,512,32,0.5,0.833984,0.082435,5,random_plurality,6.0235,0.0,4583
fixed_field,0.0625,65537,1024,64,0.5,0.833008,0.083412,5,random_plurality,5.9883,0.0,3544
fixed_field,0.0625,65537,2048,128,0.5,0.833008,0.083412,5,random_plurality,5.9883,0.0,3942
fixed_field,0.0625,65537,4096,256,0.5,0.833252,0.083168,5,random_plurality,5.9971,0.0,4130
fixed_field,0.0625,65537,32,2,0.75,0.875,0.041419,7,random_plurality,8.0,4.008e-05,6661
fixed_field,0.0625,65537,64,4,0.75,0.875,0.041419,7,greedy,8.0,0.0,6755
fixed_field,0.0625,65537,128,8,0.75,0.875,0.041419,7,random_plurality,8.0,0.0,7180
fixed_field,0.0625,65537,256,16,0.75,0.875,0.041419,7,greedy,8.0,0.0,5114
fixed_field,0.0625,65537,512,32,0.75,0.875,0.041419,7,greedy,8.0,0.0,5537
fixed_field,0.0625,65537,1024,64,0.75,0.875,0.041419,7,greedy,8.0,0.0,4268
fixed_field,0.0625,65537,2048,128,0.75,0.875,0.041419,7,greedy,8.0,0.0,4581
fixed_field,0.0625,65537,4096,256,0.75,0.874756,0.041664,7,greedy,7.9844,0.0,4827
fixed_field,0.25,65537,32,8,0.25,0.5625,0.136796,2,greedy,2.2857,0.0,3551
fixed_field,0.25,65537,64,16,0.25,0.546875,0.152421,2,greedy,2.2069,0.0,3576
fixed_field,0.25,65537,128,32,0.25,0.546875,0.152421,2,greedy,2.2069,0.0,3712
fixed_field,0.25,65537,256,64,0.25,0.550781,0.148514,2,greedy,2.2261,0.0,2248
fixed_field,0.25,65537,512,128,0.25,0.550781,0.148514,2,greedy,2.2261,0.0,2395
fixed_field,0.25,65537,1024,256,0.25,0.549805,0.149491,2,greedy,2.2213,0.0,1580
fixed_field,0.25,65537,2048,512,0.25,0.549805,0.149491,2,greedy,2.2213,0.0,1736
fixed_field,0.25,65537,4096,1024,0.25,0.549805,0.149491,2,greedy,2.2213,0.0,1792
fixed_field,0.25,65537,32,8,0.5,0.59375,0.105546,2,random_plurality,2.4615,0.0,3573
fixed_field,0.25,65537,64,16,0.5,0.59375,0.105546,2,random_plurality,2.4615,0.0,3603
fixed_field,0.25,65537,128,32,0.5,0.601562,0.097733,2,greedy,2.5098,0.0,3733
fixed_field,0.25,65537,256,64,0.5,0.601562,0.097733,2,greedy,2.5098,0.0,2537
fixed_field,0.25,65537,512,128,0.5,0.599609,0.099686,2,greedy,2.4976,0.0,2441
fixed_field,0.25,65537,1024,256,0.5,0.599609,0.099686,2,greedy,2.4976,0.0,1587
fixed_field,0.25,65537,2048,512,0.5,0.599609,0.099686,2,greedy,2.4976,0.0,1696
fixed_field,0.25,65537,4096,1024,0.5,0.599609,0.099686,2,greedy,2.4976,0.0,1739
fixed_field,0.25,65537,32,8,0.75,0.65625,0.043046,3,structured_coset,2.9091,3.11e-06,3611
fixed_field,0.25,65537,64,16,0.75,0.65625,0.043046,3,structured_coset,2.9091,0.0,3605
fixed_field,0.25,65537,128,32,0.75,0.648438,0.050858,2,random_plurality,2.8444,0.0,3742
fixed_field,0.25,65537,256,64,0.75,0.648438,0.050858,2,random_plurality,2.8444,0.0,2580
fixed_field,0.25,65537,512,128,0.75,0.650391,0.048905,2,random_plurality,2.8603,0.0,2888
fixed_field,0.25,65537,1024,256,0.75,0.649414,0.049881,2,greedy,2.8524,0.0,2323
fixed_field,0.25,65537,2048,512,0.75,0.649414,0.049881,2,greedy,2.8524,0.0,2661
fixed_field,0.25,65537,4096,1024,0.75,0.649414,0.049881,2,greedy,2.8524,0.0,2813
fixed_field,0.125,65537,32,4,0.25,0.6875,0.153527,3,random_plurality,3.2,0.0,4191
fixed_field,0.125,65537,64,8,0.25,0.6875,0.153527,3,random_plurality,3.2,0.0,4385
fixed_field,0.125,65537,128,16,0.25,0.695312,0.145715,3,random_plurality,3.2821,0.0,4528
fixed_field,0.125,65537,256,32,0.25,0.695312,0.145715,3,random_plurality,3.2821,0.0,3122
