ext_field,p,e,q,domain,domain_field,s_genuine_extension,n,k,s,m,r,rho,capacity,design_delta,eta_2_over_s,exp_f,exp_g,delta,delta_minus_capacity,close_count,frac_close,S_star,ca_threshold,g_max_single_agreement,meaningful_regime,is_bad_line,predicted_sumset_size
GF(3^2),3,2,9,smooth_ext_subgroup,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(3^2),3,2,9,smooth_ext_subgroup,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(3^2),3,2,9,smooth_ext_subgroup,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(3^2),3,2,9,smooth_ext_subgroup,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,9,1.0,2,2,4,False,False,0
GF(3^2),3,2,9,random_ext_subset,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(3^2),3,2,9,random_ext_subset,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(3^2),3,2,9,random_ext_subset,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(3^2),3,2,9,random_ext_subset,GF(3^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,9,1.0,2,2,4,False,False,0
GF(3^2),3,2,9,prime_control_subgroup,GF(17),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(3^2),3,2,9,prime_control_subgroup,GF(17),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(3^2),3,2,9,prime_control_subgroup,GF(17),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(3^2),3,2,9,prime_control_subgroup,GF(17),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,17,1.0,2,2,4,False,False,0
GF(5^2),5,2,25,smooth_ext_subgroup,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(5^2),5,2,25,smooth_ext_subgroup,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(5^2),5,2,25,smooth_ext_subgroup,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(5^2),5,2,25,smooth_ext_subgroup,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,25,1.0,2,2,4,False,False,0
GF(5^2),5,2,25,random_ext_subset,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,3,7,3,True,False,0
GF(5^2),5,2,25,random_ext_subset,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,3,6,3,True,False,0
GF(5^2),5,2,25,random_ext_subset,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,3,5,3,True,False,0
GF(5^2),5,2,25,random_ext_subset,GF(5^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,25,1.0,3,2,3,False,False,0
GF(5^2),5,2,25,prime_control_subgroup,GF(17),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(5^2),5,2,25,prime_control_subgroup,GF(17),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(5^2),5,2,25,prime_control_subgroup,GF(17),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
