thrust,label,p,n,k,rho,note,J,r_E,c,delta,delta_minus_J,delta_minus_rE,max_list,max_family,best_noncoset_list,best_noncoset_family,best_coset_list,n_sampled,qn_space_log10
i,GF(89)_n8_k2,89,8,2,0.25,pow2_n=8,0.5,0.62535,0.25,0.625,0.125,-0.00035,4,random,4,random,2,6412,15.6
ii,GF(17)_n16_k2,17,16,2,0.125,n16_k2_rho2_16,0.64645,0.74469,0.5,0.6875,0.04105,-0.05719,5,cluster,5,,2,2410,19.69
ii,GF(97)_n16_k2,97,16,2,0.125,n16_k2_rho2_16,0.64645,0.79292,0.5,0.75,0.10355,-0.04292,5,cluster,5,,4,2410,31.79
ii,GF(113)_n16_k2,113,16,2,0.125,n16_k2_rho2_16,0.64645,0.79554,0.5,0.75,0.10355,-0.04554,4,monomial,4,,4,2410,32.85
ii,GF(193)_n16_k2,193,16,2,0.125,n16_k2_rho2_16,0.64645,0.80353,0.5,0.75,0.10355,-0.05353,4,monomial,4,,4,2410,36.57
ii,GF(241)_n16_k2,241,16,2,0.125,n16_k2_rho2_16,0.64645,0.8064,0.5,0.75,0.10355,-0.0564,4,monomial,4,,4,2410,38.11
ii,GF(257)_n16_k2,257,16,2,0.125,n16_k2_rho2_16,0.64645,0.80719,0.5,0.75,0.10355,-0.05719,4,monomial,4,,4,2410,38.56
ii,GF(17)_n8_k2,17,8,2,0.25,n8_k2_rho2_8,0.5,0.55687,0.5,0.5,0.0,-0.05687,2,monomial,2,,2,2409,9.84
ii,GF(41)_n8_k2,41,8,2,0.25,n8_k2_rho2_8,0.5,0.60024,0.5,0.5,0.0,-0.10024,2,monomial,2,,2,2409,12.9
ii,GF(73)_n8_k2,73,8,2,0.25,n8_k2_rho2_8,0.5,0.61974,0.5,0.5,0.0,-0.11974,2,monomial,2,,2,2409,14.91
ii,GF(89)_n8_k2,89,8,2,0.25,n8_k2_rho2_8,0.5,0.62535,0.5,0.625,0.125,-0.00035,5,cluster,5,,2,2409,15.6
ii,GF(97)_n8_k2,97,8,2,0.25,n8_k2_rho2_8,0.5,0.62764,0.5,0.625,0.125,-0.00264,4,nearcw,4,,2,2409,15.89
ii,GF(113)_n8_k2,113,8,2,0.25,n8_k2_rho2_8,0.5,0.63152,0.5,0.625,0.125,-0.00652,4,generic,4,,2,2409,16.42
ii,GF(97)_n32_k2,97,32,2,0.0625,n32_k2_rho2_32,0.75,0.88654,0.5,0.8125,0.0625,-0.07404,6,cluster,6,,4,2410,63.58
ii,GF(193)_n32_k2,193,32,2,0.0625,n32_k2_rho2_32,0.75,0.89314,0.5,0.8125,0.0625,-0.08064,5,cluster,5,,4,2410,73.14
ii,GF(257)_n32_k2,257,32,2,0.0625,n32_k2_rho2_32,0.75,0.89541,0.5,0.8125,0.0625,-0.08291,5,cluster,5,,4,2410,77.12
ii,GF(353)_n32_k2,353,32,2,0.0625,n32_k2_rho2_32,0.75,0.89768,0.5,0.8125,0.0625,-0.08518,5,cluster,5,,4,968,81.53
ii,GF(449)_n32_k2,449,32,2,0.0625,n32_k2_rho2_32,0.75,0.89924,0.5,0.8125,0.0625,-0.08674,5,cluster,5,,4,968,84.87
ii,GF(577)_n32_k2,577,32,2,0.0625,n32_k2_rho2_32,0.75,0.90074,0.5,0.8125,0.0625,-0.08824,5,cluster,5,,4,968,88.36
