axis,label,p,n,k,rho,log_p,delta,margin_rE_minus_delta,word_type,tag,L,smallest_r,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12
fix_rho_vary_k(rho=1/8),GF(257)_n16_k2,257,16,2,0.125,5.549076,0.75,0.05719,adversarial_cluster,cluster_plurality,4,4,980.790514,248.652283,70.326964,27.13974,18.299137,19.538115,25.35179,35.168535,50.121111,72.460492,105.733629,155.324357
fix_rho_vary_k(rho=1/8),GF(257)_n16_k2,257,16,2,0.125,5.549076,0.75,0.05719,coset_kambire,X^4,4,4,980.948617,248.649784,68.165123,22.185591,9.760374,6.075295,4.840407,4.370496,4.172064,4.082229,4.039883,4.019488
fix_rho_vary_k(rho=1/8),GF(257)_n16_k2,257,16,2,0.125,5.549076,0.75,0.05719,random,random_0,0,5,981.090909,248.647534,66.887683,19.920587,6.868957,2.801375,1.330136,0.709745,0.412182,0.254952,0.165577,0.111702
fix_rho_vary_k(rho=1/8),GF(97)_n24_k3,97,24,3,0.125,4.574711,0.708333,0.08459,adversarial_cluster,cluster_plurality,4,6,26079.865649,3945.744663,745.896062,179.880381,54.279797,20.513552,10.053617,6.439919,5.070217,4.506172,4.255863,4.137063
fix_rho_vary_k(rho=1/8),GF(97)_n24_k3,97,24,3,0.125,4.574711,0.708333,0.08459,coset_kambire,X^9,3,6,26078.803053,3945.783598,745.894635,180.030497,55.166873,22.492678,13.297169,11.058077,11.179426,12.256687,13.840513,15.793878
fix_rho_vary_k(rho=1/8),GF(97)_n24_k3,97,24,3,0.125,4.574711,0.708333,0.08459,random,random_0,0,7,26077.410687,3945.834616,745.892766,178.379862,51.588776,17.131672,6.317638,2.535006,1.089904,0.495453,0.235443,0.11588
fix_rho_vary_k(rho=1/8),GF(73)_n24_k3,73,24,3,0.125,4.290459,0.708333,0.079253,adversarial_cluster,cluster_plurality,4,6,13772.156057,2155.646041,446.67005,121.122908,42.53227,20.492825,14.257912,13.306524,14.604903,17.27732,21.166414,26.410228
fix_rho_vary_k(rho=1/8),GF(73)_n24_k3,73,24,3,0.125,4.290459,0.708333,0.079253,coset_kambire,X^9,3,6,13769.100616,2155.796618,446.662629,120.190283,41.127502,18.877133,12.379779,10.904048,11.265127,12.43879,14.084948,16.099756
fix_rho_vary_k(rho=1/8),GF(73)_n24_k3,73,24,3,0.125,4.290459,0.708333,0.079253,random,random_0,0,7,13768.213552,2155.840333,446.660475,118.784844,37.90486,13.854885,5.660989,2.544227,1.240062,0.646997,0.357201,0.206596
fix_rho_vary_k(rho=1/4),GF(97)_n12_k3,97,12,3,0.25,4.574711,0.583333,0.04431,adversarial_cluster,cluster_plurality,3,7,20447.213531,4180.686956,957.021175,258.301815,84.5415,33.430171,15.792239,8.888933,5.921186,4.546546,3.867289,3.511525
fix_rho_vary_k(rho=1/4),GF(97)_n12_k3,97,12,3,0.25,4.574711,0.583333,0.04431,coset_kambire,X^6,2,8,20447.59408,4180.677302,957.02142,259.235657,86.729842,36.952897,20.723028,15.377626,14.212249,14.980377,16.88177,19.6489
fix_rho_vary_k(rho=1/4),GF(97)_n12_k3,97,12,3,0.25,4.574711,0.583333,0.04431,random,random_0,0,8,20447.010571,4180.692105,957.021045,257.834894,83.512616,31.913255,13.897578,6.714602,3.542536,2.018384,1.228777,0.790652
"fix_nk_vary_p(n=16,k=2)",GF(17)_n16_k2,17,16,2,0.125,2.833213,0.6875,0.057191,adversarial_cluster,cluster_plurality,5,1,22.956522,10.216341,6.950878,5.880513,5.470197,5.283813,5.185294,5.127013,5.089803,5.064804,5.047413,5.035018
"fix_nk_vary_p(n=16,k=2)",GF(17)_n16_k2,17,16,2,0.125,2.833213,0.6875,0.057191,coset_kambire,X^8,2,2,22.028986,10.431422,11.656837,18.592506,31.896632,55.358103,96.245144,167.375081,291.085068,506.234372,880.407465,1531.143381
"fix_nk_vary_p(n=16,k=2)",GF(17)_n16_k2,17,16,2,0.125,2.833213,0.6875,0.057191,random,random_0,1,2,25.043478,9.732409,5.447906,4.169078,3.995764,4.353693,5.065351,6.089876,7.444485,9.179698,11.372212,14.124655
"fix_nk_vary_p(n=16,k=2)",GF(97)_n16_k2,97,16,2,0.125,4.574711,0.75,0.042924,adversarial_cluster,cluster_plurality,5,3,342.064516,89.723205,30.412177,15.866506,12.536992,12.54406,13.939131,16.241545,19.390604,23.484678,28.713584,35.344831
"fix_nk_vary_p(n=16,k=2)",GF(97)_n16_k2,97,16,2,0.125,4.574711,0.75,0.042924,coset_kambire,X^4,4,3,342.580645,89.701006,28.392016,12.053567,7.065824,5.295451,4.582517,4.270599,4.127709,4.060723,4.028972,4.013844
"fix_nk_vary_p(n=16,k=2)",GF(97)_n16_k2,97,16,2,0.125,4.574711,0.75,0.042924,random,random_7,1,5,342.83871,89.689906,27.435123,10.387585,4.946556,2.891493,1.995807,1.562826,1.337328,1.212606,1.139776,1.09505
"fix_nk_vary_p(n=16,k=2)",GF(353)_n16_k2,353,16,2,0.125,5.866468,0.75,0.060836,adversarial_cluster,cluster_plurality,4,4,1364.618911,344.474676,93.286333,30.702111,15.241108,12.097441,12.585599,14.517668,17.381534,21.138097,25.915656,31.933487
"fix_nk_vary_p(n=16,k=2)",GF(353)_n16_k2,353,16,2,0.125,5.866468,0.75,0.060836,coset_kambire,X^4,4,4,1364.687679,344.473888,92.122215,28.204297,11.291837,6.476387,4.95176,4.404706,4.184168,4.087199,4.042175,4.020623
"fix_nk_vary_p(n=16,k=2)",GF(353)_n16_k2,353,16,2,0.125,5.866468,0.75,0.060836,random,random_2,1,5,1364.767908,344.472968,91.15212,26.482568,9.096689,3.99567,2.297292,1.641431,1.35033,1.206027,1.128321,1.083682
"fix_nk_vary_p(n=16,k=2)",GF(593)_n16_k2,593,16,2,0.125,6.385194,0.75,0.066026,adversarial_cluster,cluster_plurality,4,5,2324.400679,584.282646,152.169702,43.36545,15.222354,7.573534,5.314662,4.562463,4.273828,4.147095,4.085091,4.052181
"fix_nk_vary_p(n=16,k=2)",GF(593)_n16_k2,593,16,2,0.125,6.385194,0.75,0.066026,coset_kambire,X^4,4,5,2324.40747,584.2826,152.074029,43.223565,15.07569,7.442309,5.205466,4.475207,4.20576,4.094778,4.045254,4.022029
"fix_nk_vary_p(n=16,k=2)",GF(593)_n16_k2,593,16,2,0.125,6.385194,0.75,0.066026,random,random_0,0,6,2324.468591,584.282185,150.830283,40.993766,12.212366,4.189056,1.710128,0.825337,0.453948,0.273599,0.175631,0.117882
"fix_nk_vary_p(n=16,k=2)",GF(769)_n16_k2,769,16,2,0.125,6.645091,0.75,0.068325,adversarial_cluster,cluster_plurality,4,5,3028.308497,760.218077,196.152644,54.371414,17.983654,8.270778,5.493342,4.609767,4.287217,4.151373,4.086722,4.052937
"fix_nk_vary_p(n=16,k=2)",GF(769)_n16_k2,769,16,2,0.125,6.645091,0.75,0.068325,coset_kambire,X^4,4,5,3028.313725,760.218049,196.057416,54.229816,17.837027,8.13941,5.383908,4.522239,4.218881,4.09881,4.046672,4.022605
