field,q,n,k,rho,domain,johnson,capacity,onset_delta,onset_minus_capacity,onset_minus_johnson,c_onset_capacity_minus_c_over_n,list_at_capacity,exact
GF(31),31,6,2,0.3333,subgroup,0.4226,0.6667,0.666667,0.0,0.244,-0.0,15,True
GF(31),31,6,2,0.3333,random,0.4226,0.6667,0.666667,0.0,0.244,-0.0,15,True
GF(31),31,10,2,0.2,subgroup,0.5528,0.8,0.7,-0.1,0.1472,1.0,45,True
GF(31),31,10,2,0.2,random,0.5528,0.8,0.7,-0.1,0.1472,1.0,45,True
GF(61),61,6,2,0.3333,subgroup,0.4226,0.6667,0.666667,0.0,0.244,-0.0,15,True
GF(61),61,6,2,0.3333,random,0.4226,0.6667,0.666667,0.0,0.244,-0.0,15,True
GF(61),61,12,2,0.1667,subgroup,0.5918,0.8333,0.75,-0.0833,0.1582,1.0,3,True
GF(61),61,12,2,0.1667,random,0.5918,0.8333,0.75,-0.0833,0.1582,1.0,3,True
GF(61),61,10,2,0.2,subgroup,0.5528,0.8,0.7,-0.1,0.1472,1.0,45,True
GF(61),61,10,2,0.2,random,0.5528,0.8,0.7,-0.1,0.1472,1.0,45,True
GF(31),31,15,2,0.1333,subgroup,0.6349,0.8667,0.8,-0.0667,0.1651,1.0,105,True
GF(31),31,15,2,0.1333,random,0.6349,0.8667,0.8,-0.0667,0.1651,1.0,105,True
GF(2^6),64,7,2,0.2857,subgroup,0.4655,0.7143,0.571429,-0.1429,0.106,1.0,21,True
GF(2^6),64,7,2,0.2857,random,0.4655,0.7143,0.571429,-0.1429,0.106,1.0,21,True
GF(61),61,15,2,0.1333,subgroup,0.6349,0.8667,0.8,-0.0667,0.1651,1.0,105,True
GF(61),61,15,2,0.1333,random,0.6349,0.8667,0.8,-0.0667,0.1651,1.0,105,True
GF(2^6),64,9,2,0.2222,subgroup,0.5286,0.7778,0.666667,-0.1111,0.1381,1.0,36,True
GF(2^6),64,9,2,0.2222,random,0.5286,0.7778,0.666667,-0.1111,0.1381,1.0,36,True
GF(61),61,30,2,0.0667,subgroup,0.7418,0.9333,0.866667,-0.0667,0.1249,2.0,16,True
GF(61),61,30,2,0.0667,random,0.7418,0.9333,0.866667,-0.0667,0.1249,2.0,15,True
GF(61),61,20,2,0.1,subgroup,0.6838,0.9,0.85,-0.05,0.1662,1.0,190,True
GF(61),61,20,2,0.1,random,0.6838,0.9,0.8,-0.1,0.1162,2.0,190,True
GF(127),127,6,2,0.3333,subgroup,0.4226,0.6667,0.666667,0.0,0.244,-0.0,15,True
GF(127),127,6,2,0.3333,random,0.4226,0.6667,0.666667,0.0,0.244,-0.0,15,True
GF(2^6),64,21,2,0.0952,subgroup,0.6914,0.9048,0.857143,-0.0476,0.1657,1.0,210,True
GF(2^6),64,21,2,0.0952,random,0.6914,0.9048,0.857143,-0.0476,0.1657,1.0,210,True
GF(127),127,7,2,0.2857,subgroup,0.4655,0.7143,0.714286,0.0,0.2488,-0.0,21,True
GF(127),127,7,2,0.2857,random,0.4655,0.7143,0.714286,0.0,0.2488,-0.0,21,True
GF(127),127,9,2,0.2222,subgroup,0.5286,0.7778,0.666667,-0.1111,0.1381,1.0,36,True
GF(127),127,9,2,0.2222,random,0.5286,0.7778,0.666667,-0.1111,0.1381,1.0,36,True
GF(127),127,14,2,0.1429,subgroup,0.622,0.8571,0.857143,0.0,0.2351,-0.0,91,True
GF(127),127,14,2,0.1429,random,0.622,0.8571,0.857143,0.0,0.2351,-0.0,91,True
GF(127),127,18,2,0.1111,subgroup,0.6667,0.8889,0.888889,0.0,0.2222,-0.0,153,True
GF(127),127,18,2,0.1111,random,0.6667,0.8889,0.888889,0.0,0.2222,-0.0,153,True
GF(127),127,21,2,0.0952,subgroup,0.6914,0.9048,0.857143,-0.0476,0.1657,1.0,210,True
GF(127),127,21,2,0.0952,random,0.6914,0.9048,0.809524,-0.0952,0.1181,2.0,210,True
GF(127),127,42,2,0.0476,subgroup,0.7818,0.9524,0.904762,-0.0476,0.123,2.0,861,True
GF(127),127,42,2,0.0476,random,0.7818,0.9524,0.904762,-0.0476,0.123,2.0,861,True
GF(127),127,63,2,0.0317,subgroup,0.8218,0.9683,0.904762,-0.0635,0.0829,4.0,1953,True
GF(127),127,63,2,0.0317,random,0.8218,0.9683,0.920635,-0.0476,0.0988,3.0,1953,True
