field,kind,t,s,genuine,hostable,r3_degenerate,r3_solutions,r4_degenerate,r4_solutions,scanned
GF(31^2),genuine_ext,2,4,True,True,False,0,True,6,True
GF(31^2),genuine_ext,3,8,True,True,False,0,True,30,True
GF(31^2),genuine_ext,4,16,True,True,False,0,True,78,True
GF(31^2),genuine_ext,5,32,True,True,False,0,True,846,True
GF(31^2),genuine_ext,6,64,True,False,False,0,True,1038,True
GF(127^2),genuine_ext,2,4,True,True,False,0,True,6,True
GF(127^2),genuine_ext,3,8,True,True,False,0,True,30,True
GF(127^2),genuine_ext,4,16,True,True,False,0,True,78,True
GF(127^2),genuine_ext,5,32,True,True,False,0,True,294,True
GF(127^2),genuine_ext,6,64,True,True,False,0,True,1926,True
GF(127^2),genuine_ext,7,128,True,True,False,0,True,15630,True
GF(127^2),genuine_ext,8,256,True,False,True,6,True,16398,True
GF(8191^2),genuine_ext,2,4,True,True,False,0,True,6,True
GF(8191^2),genuine_ext,3,8,True,True,False,0,True,30,True
GF(8191^2),genuine_ext,4,16,True,True,False,0,True,78,True
GF(8191^2),genuine_ext,5,32,True,True,False,0,True,174,True
GF(8191^2),genuine_ext,6,64,True,True,False,0,True,366,True
GF(8191^2),genuine_ext,7,128,True,True,False,0,True,894,True
GF(8191^2),genuine_ext,8,256,True,True,False,0,True,2886,True
GF(8191^2),genuine_ext,9,512,True,True,False,0,True,18534,True
GF(8191^2),genuine_ext,10,1024,True,True,False,0,True,134886,True
GF(8191^2),genuine_ext,11,2048,True,True,False,0,,-1,True
GF(8191^2),genuine_ext,12,4096,True,True,False,0,,-1,True
GF(8191^2),genuine_ext,13,8192,True,True,False,0,,-1,True
GF(8191^2),genuine_ext,14,16384,True,False,False,0,,-1,True
GF(131071^2),genuine_ext,2,4,True,True,False,0,True,6,True
GF(131071^2),genuine_ext,3,8,True,True,False,0,True,30,True
GF(131071^2),genuine_ext,4,16,True,True,False,0,True,78,True
GF(131071^2),genuine_ext,5,32,True,True,False,0,True,174,True
GF(131071^2),genuine_ext,6,64,True,True,False,0,True,366,True
GF(131071^2),genuine_ext,7,128,True,True,False,0,True,750,True
GF(131071^2),genuine_ext,8,256,True,True,False,0,True,1614,True
GF(131071^2),genuine_ext,9,512,True,True,False,0,True,3726,True
GF(131071^2),genuine_ext,10,1024,True,True,False,0,True,12942,True
GF(131071^2),genuine_ext,11,2048,True,True,False,0,,-1,True
GF(131071^2),genuine_ext,12,4096,True,True,False,0,,-1,True
GF(131071^2),genuine_ext,13,8192,True,True,False,0,,-1,True
GF(131071^2),genuine_ext,14,16384,True,True,False,0,,-1,True
GF(131071^2),genuine_ext,15,32768,True,True,False,0,,-1,True
GF(131071^2),genuine_ext,16,65536,True,True,False,0,,-1,True
GF(131071^2),genuine_ext,17,131072,True,True,,-1,,-1,False
GF(131071^2),genuine_ext,18,262144,True,False,,-1,,-1,False
GF(524287^2),genuine_ext,2,4,True,True,False,0,True,6,True
GF(524287^2),genuine_ext,3,8,True,True,False,0,True,30,True
GF(524287^2),genuine_ext,4,16,True,True,False,0,True,78,True
GF(524287^2),genuine_ext,5,32,True,True,False,0,True,174,True
GF(524287^2),genuine_ext,6,64,True,True,False,0,True,366,True
GF(524287^2),genuine_ext,7,128,True,True,False,0,True,750,True
GF(524287^2),genuine_ext,8,256,True,True,False,0,True,1614,True
GF(524287^2),genuine_ext,9,512,True,True,False,0,True,3438,True
GF(524287^2),genuine_ext,10,1024,True,True,False,0,True,8430,True
GF(524287^2),genuine_ext,11,2048,True,True,False,0,,-1,True
GF(524287^2),genuine_ext,12,4096,True,True,False,0,,-1,True
GF(524287^2),genuine_ext,13,8192,True,True,False,0,,-1,True
GF(524287^2),genuine_ext,14,16384,True,True,False,0,,-1,True
GF(524287^2),genuine_ext,15,32768,True,True,False,0,,-1,True
GF(524287^2),genuine_ext,16,65536,True,True,False,0,,-1,True
GF(524287^2),genuine_ext,17,131072,True,True,,-1,,-1,False
GF(524287^2),genuine_ext,18,262144,True,True,,-1,,-1,False
GF(524287^2),genuine_ext,19,524288,True,True,,-1,,-1,False
GF(524287^2),genuine_ext,20,1048576,True,False,,-1,,-1,False
GF(3^4),genuine_ext,4,16,True,False,True,6,True,78,True
GF(7^4),genuine_ext,5,32,True,False,True,6,True,174,True
GF(97),prime,2,4,True,True,False,0,True,6,True
GF(97),prime,3,8,True,True,False,0,True,30,True
GF(97),prime,4,16,True,True,False,0,True,78,True
GF(97),prime,5,32,True,False,True,12,True,318,True
GF(193),prime,2,4,True,True,False,0,True,6,True
GF(193),prime,3,8,True,True,False,0,True,30,True
GF(193),prime,4,16,True,True,False,0,True,78,True
GF(193),prime,5,32,True,True,True,6,True,222,True
GF(193),prime,6,64,True,False,True,18,True,1278,True
GF(257),prime,2,4,True,True,False,0,True,6,True
GF(257),prime,3,8,True,True,False,0,True,30,True
GF(257),prime,4,16,True,True,False,0,True,78,True
GF(257),prime,5,32,True,True,True,6,True,222,True
GF(257),prime,6,64,True,True,True,12,True,1038,True
GF(257),prime,7,128,True,True,True,60,True,7830,True
GF(257),prime,8,256,True,False,True,252,True,63510,True
GF(449),prime,2,4,True,True,False,0,True,6,True
GF(449),prime,3,8,True,True,False,0,True,30,True
GF(449),prime,4,16,True,True,False,0,True,78,True
GF(449),prime,5,32,True,True,True,6,True,174,True
GF(449),prime,6,64,True,False,True,6,True,726,True
GF(577),prime,2,4,True,True,False,0,True,6,True
