field,q,n,k,rho,n_over_q,johnson,capacity,delta,delta_minus_johnson,delta_minus_capacity,meaningful_regime,smooth_close_mean,random_close_mean,close_mean_diff,smooth_close_max,random_close_max,smooth_frac_bad,random_frac_bad,badfrac_diff,smooth_Sstar_min_among_close,random_Sstar_min_among_close,smooth_num_lines,control_bad
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.2793,-0.1862,-0.435,True,0.1281,0.125,0.0031,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.3724,-0.0931,-0.3419,True,0.1313,0.125,0.0063,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.4189,-0.0466,-0.2954,True,0.1313,0.125,0.0063,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.4655,0.0,-0.2488,True,0.2844,0.3094,-0.025,2,2,0.0063,0.0187,-0.0125,2,2,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.5277,0.0622,-0.1866,True,0.2844,0.3094,-0.025,2,2,0.0063,0.0187,-0.0125,2,2,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.5899,0.1244,-0.1244,True,27.4406,27.525,-0.0844,35,35,0.8719,0.875,-0.0031,2,2,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.6521,0.1866,-0.0622,True,27.4406,27.525,-0.0844,35,35,0.8719,0.875,-0.0031,2,2,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.7143,0.2488,0.0,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,2,2,320,0
GF(127),127,7,2,0.2857,0.05512,0.4655,0.7143,0.7343,0.2688,0.02,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.2536,-0.169,-0.4131,True,0.1313,0.1313,0.0,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.3381,-0.0845,-0.3286,True,0.2188,0.2094,0.0094,2,2,0.0031,0.0063,-0.0031,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.3804,-0.0422,-0.2863,True,0.2188,0.2094,0.0094,2,2,0.0031,0.0063,-0.0031,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.4226,-0.0,-0.2441,True,0.2188,0.2094,0.0094,2,2,0.0031,0.0063,-0.0031,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.4837,0.0611,-0.183,True,0.2188,0.2094,0.0094,2,2,0.0031,0.0063,-0.0031,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.5447,0.1221,-0.122,True,16.5562,16.4656,0.0906,20,20,0.875,0.8656,0.0094,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.6057,0.1831,-0.061,True,16.5562,16.4656,0.0906,20,20,0.875,0.8656,0.0094,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.6667,0.2441,0.0,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,2,2,320,0
GF(127),127,6,2,0.3333,0.04724,0.4226,0.6667,0.6867,0.2641,0.02,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,2,2,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.3172,-0.2114,-0.4606,True,0.1219,0.125,-0.0031,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.4229,-0.1057,-0.3549,True,0.1219,0.125,-0.0031,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.4757,-0.0529,-0.3021,True,0.1219,0.1281,-0.0062,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.5286,0.0,-0.2492,True,0.1219,0.1281,-0.0062,1,1,0.0,0.0,0.0,-1,-1,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.5909,0.0623,-0.1869,True,0.8562,0.8406,0.0156,6,7,0.1906,0.1656,0.025,2,2,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.6532,0.1246,-0.1246,True,0.8562,0.8406,0.0156,6,7,0.1906,0.1656,0.025,2,2,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.7155,0.1869,-0.0623,True,55.5312,55.5781,-0.0469,127,127,0.8719,0.8594,0.0125,2,2,320,0
GF(127),127,9,2,0.2222,0.07087,0.5286,0.7778,0.7778,0.2492,0.0,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,2,2,320,0
