field,q,n,k,rho,domain,has_open_band,J,r_E,cap,UD,e,delta,delta_minus_J,delta_minus_rE,delta_minus_cap,max_list,max_family,johnson_const_bound,elias_volume_exp,elias_volume_pred
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,3,0.3,-0.252786,-0.299265,-0.5,1,nearcw,9.89,-0.25717,0.0021
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,4,0.4,-0.152786,-0.199265,-0.4,1,nearcw,16.363,-0.13523,0.0391
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,5,0.5,-0.052786,-0.099265,-0.3,2,kambire,47.361,-0.03081,0.4777
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,6,0.6,0.047214,0.000735,-0.2,3,nearcw,,0.05682,3.9058
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,7,0.7,0.147214,0.100735,-0.1,10,deephole,,0.12693,20.9801
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,8,0.8,0.247214,0.200735,0.0,45,deephole,,0.17689,69.515
GF(11),11,10,2,0.2,smooth,False,0.5528,0.5993,0.8,0.45,9,0.9,0.347214,0.300735,0.1,83,nearcw,,0.1998,120.4137
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,3,0.3,-0.252786,-0.299265,-0.5,1,nearcw,9.89,-0.25717,0.0021
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,4,0.4,-0.152786,-0.199265,-0.4,1,nearcw,16.363,-0.13523,0.0391
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,5,0.5,-0.052786,-0.099265,-0.3,2,kambire,47.361,-0.03081,0.4777
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,6,0.6,0.047214,0.000735,-0.2,4,random,,0.05682,3.9058
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,7,0.7,0.147214,0.100735,-0.1,10,deephole,,0.12693,20.9801
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,8,0.8,0.247214,0.200735,0.0,45,deephole,,0.17689,69.515
GF(11),11,10,2,0.2,random_domain,False,0.5528,0.5993,0.8,0.45,9,0.9,0.347214,0.300735,0.1,83,nearcw,,0.1998,120.4137
GF(7),7,6,3,0.5,smooth,False,0.2929,0.1834,0.5,0.3333,1,0.166667,-0.126227,-0.016735,-0.333333,1,nearcw,7.922,-0.11499,0.2612
GF(7),7,6,3,0.5,smooth,False,0.2929,0.1834,0.5,0.3333,2,0.333333,0.04044,0.149932,-0.166667,3,deephole,,0.13403,4.7821
GF(7),7,6,3,0.5,smooth,False,0.2929,0.1834,0.5,0.3333,3,0.5,0.207107,0.316598,0.0,20,deephole,,0.3166,40.3032
GF(7),7,6,3,0.5,smooth,False,0.2929,0.1834,0.5,0.3333,4,0.666667,0.373773,0.483265,0.166667,76,nearcw,,0.44096,172.1545
GF(7),7,6,3,0.5,smooth,False,0.2929,0.1834,0.5,0.3333,5,0.833333,0.54044,0.649932,0.333333,209,deephole,,0.49886,338.4696
GF(7),7,6,3,0.5,random_domain,False,0.2929,0.1834,0.5,0.3333,1,0.166667,-0.126227,-0.016735,-0.333333,1,nearcw,7.922,-0.11499,0.2612
GF(7),7,6,3,0.5,random_domain,False,0.2929,0.1834,0.5,0.3333,2,0.333333,0.04044,0.149932,-0.166667,3,deephole,,0.13403,4.7821
GF(7),7,6,3,0.5,random_domain,False,0.2929,0.1834,0.5,0.3333,3,0.5,0.207107,0.316598,0.0,20,deephole,,0.3166,40.3032
GF(7),7,6,3,0.5,random_domain,False,0.2929,0.1834,0.5,0.3333,4,0.666667,0.373773,0.483265,0.166667,91,nearcw,,0.44096,172.1545
GF(7),7,6,3,0.5,random_domain,False,0.2929,0.1834,0.5,0.3333,5,0.833333,0.54044,0.649932,0.333333,209,deephole,,0.49886,338.4696
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,6,0.4,-0.234852,-0.328143,-0.466667,1,nearcw,15.968,-0.23324,0.0001
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,7,0.466667,-0.168185,-0.261476,-0.4,2,maxcluster,22.297,-0.16166,0.0012
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,8,0.533333,-0.101518,-0.19481,-0.333333,2,maxcluster,36.939,-0.09655,0.018
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,9,0.6,-0.034852,-0.128143,-0.266667,2,maxcluster,107.599,-0.0379,0.2068
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,10,0.666667,0.031815,-0.061476,-0.2,2,nearcw,,0.01406,1.7942
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,11,0.733333,0.098482,0.00519,-0.133333,15,deephole,,0.05876,11.5147
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,12,0.8,0.165148,0.071857,-0.066667,35,deephole,,0.09519,52.4041
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,13,0.866667,0.231815,0.138524,0.0,105,deephole,,0.12145,156.1967
GF(2^4),16,15,2,0.1333,smooth,False,0.6349,0.7281,0.8667,0.4667,14,0.933333,0.298482,0.20519,0.066667,186,nearcw,,0.13328,255.4431
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,6,0.4,-0.234852,-0.328143,-0.466667,1,nearcw,15.968,-0.23324,0.0001
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,7,0.466667,-0.168185,-0.261476,-0.4,2,maxcluster,22.297,-0.16166,0.0012
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,8,0.533333,-0.101518,-0.19481,-0.333333,2,maxcluster,36.939,-0.09655,0.018
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,9,0.6,-0.034852,-0.128143,-0.266667,2,maxcluster,107.599,-0.0379,0.2068
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,10,0.666667,0.031815,-0.061476,-0.2,3,random,,0.01406,1.7942
GF(2^4),16,15,2,0.1333,random_domain,False,0.6349,0.7281,0.8667,0.4667,11,0.733333,0.098482,0.00519,-0.133333,15,deephole,,0.05876,11.5147
